Date,Price,Open,High,Low,Vol.,Change %
06-12-2024,79365,79328,79658,78741,,0.36%
05-12-2024,79111,79882,80055,79049,156.12K,-1.04%
04-12-2024,79950,79640,80124,79293,171.79K,0.31%
03-12-2024,79686,79510,80000,79349,140.97K,0.35%
02-12-2024,79466,79923,80064,79047,163.54K,-0.84%
29-11-2024,79967,79359,80250,78866,180.76K,0.61%
28-11-2024,79377,79183,79931,79001,169.46K,1.15%
27-11-2024,78439,78567,79067,77965,2.72K,0.14%
26-11-2024,78241,81138,81361,78208,2.57K,-3.46%
25-11-2024,80989,79762,81090,79762,0.82K,1.41%
22-11-2024,80023,79332,80062,79332,0.54K,0.88%
21-11-2024,79388,78947,79603,78518,0.73K,0.34%
20-11-2024,78993,78553,79362,78502,49.42K,0.62%
19-11-2024,78533,77247,78676,77158,48.33K,1.72%
18-11-2024,77213,77225,77522,76918,35.41K,-0.11%
15-11-2024,77320,77487,77695,76385,38.52K,-0.53%
14-11-2024,77768,78313,78915,77518,69.50K,-0.76%
13-11-2024,78322,78915,79114,78012,68.56K,-0.43%
12-11-2024,78628,80840,80875,78610,75.01K,-2.86%
11-11-2024,80943,81476,81601,80720,73.37K,-0.41%
08-11-2024,81289,80131,81631,79627,81.67K,1.12%
07-11-2024,80292,82552,82742,79831,40.56K,-2.67%
06-11-2024,82515,82387,82801,82027,20.42K,0.13%
05-11-2024,82209,82135,82538,82031,14.11K,-0.11%
04-11-2024,82318,82458,83004,82134,18.54K,0.00%
01-11-2024,82272,83749,83815,82053,22.13K,-1.83%
31-10-2024,83787,83369,83805,83244,16.16K,0.71%
30-10-2024,83215,82400,83411,82370,19.41K,0.91%
29-10-2024,82436,82287,82504,81884,6.93K,0.05%
28-10-2024,82404,82226,82591,81660,5.50K,0.21%
25-10-2024,82266,81679,82468,81676,14.22K,0.71%
24-10-2024,81644,82646,82898,81425,11.66K,-1.10%
23-10-2024,82557,81813,82664,81774,8.78K,0.76%
22-10-2024,81948,81853,82423,81669,9.56K,0.33%
21-10-2024,81678,80999,81904,80999,13.14K,0.84%
18-10-2024,80994,80478,81137,80437,11.91K,0.61%
17-10-2024,80476,80121,80805,79999,7.16K,0.46%
16-10-2024,80101,79701,80294,79384,5.51K,0.50%
15-10-2024,79713,79924,80244,79574,2.15K,-0.40%
14-10-2024,80035,79170,80101,79125,8.09K,1.39%
11-10-2024,78988,78573,79267,78392,25.89K,0.52%
10-10-2024,78428,78866,78914,78366,7.35K,-0.35%
09-10-2024,78716,79518,79812,78367,14.01K,-1.15%
08-10-2024,79626,79739,80014,79372,7.02K,-0.06%
07-10-2024,79707,79941,80370,79248,16.42K,-0.40%
04-10-2024,80071,80124,80172,79436,3.96K,0.36%
03-10-2024,79755,80176,80187,79539,3.11K,-0.76%
02-10-2024,80295,79265,80420,79244,8.06K,1.16%
01-10-2024,79353,79965,80173,78983,5.80K,-0.32%
30-09-2024,79470,80256,80315,79402,6.19K,-0.19%
27-09-2024,79575,79170,79982,79061,217.64K,0.38%
26-09-2024,79170,79114,79471,78837,189.94K,0.29%
25-09-2024,78942,78243,79308,78060,216.55K,0.92%
24-09-2024,78220,78034,78435,77810,170.49K,0.24%
23-09-2024,77969,76937,78110,76864,207.21K,1.21%
20-09-2024,76996,76127,77170,75839,204.48K,0.62%
19-09-2024,76649,76572,77492,75879,233.13K,0.24%
18-09-2024,76493,77007,77122,76343,159.53K,-0.63%
17-09-2024,77069,77043,77320,76880,127.58K,-0.07%
16-09-2024,77208,76522,77323,76448,174.67K,1.17%
13-09-2024,76354,75171,76588,75115,233.68K,1.50%
12-09-2024,75260,75358,75722,74863,194.09K,-0.03%
11-09-2024,75317,75106,75447,74896,156.11K,0.41%
10-09-2024,74999,74815,75111,74451,140.58K,0.32%
09-09-2024,74740,75406,75782,74423,228.12K,-0.73%
06-09-2024,75339,74844,75662,74764,152.71K,0.68%
05-09-2024,74811,74770,74974,74121,167.96K,0.12%
04-09-2024,74721,75106,75210,74170,273.54K,-0.18%
03-09-2024,74849,75619,75811,74819,175.64K,-1.28%
02-09-2024,75754,75129,75810,75050,159.97K,0.89%
30-08-2024,75076,75727,75860,74781,165.12K,-0.59%
29-08-2024,75535,75561,75786,75109,146.22K,-0.09%
28-08-2024,75621,75322,75858,75289,127.49K,0.35%
27-08-2024,75366,74621,75609,74582,164.61K,1.18%
26-08-2024,74428,75410,75454,74124,177.37K,-1.21%
23-08-2024,75311,75450,75622,74741,148.89K,-0.12%
22-08-2024,75512,75269,76098,75053,191.20K,0.37%
21-08-2024,75183,75431,75437,74662,155.99K,0.14%
20-08-2024,74972,73689,75282,73506,223.93K,1.82%
19-08-2024,73718,73535,74180,73032,169.32K,0.51%
16-08-2024,73369,74156,74552,73265,187.38K,-1.12%
15-08-2024,74253,74396,74535,73969,155.08K,0.15%
14-08-2024,74159,73155,74437,72935,171.20K,1.24%
13-08-2024,73209,73028,73300,72697,152.17K,0.41%
12-08-2024,72927,71728,73063,71651,178.51K,1.27%
09-08-2024,72025,72031,72466,71622,166.08K,0.03%
08-08-2024,72040,72636,72867,71750,186.11K,-0.52%
07-08-2024,72329,73687,73998,71127,352.23K,-1.03%
06-08-2024,73120,73741,74680,72625,309.94K,-0.44%
05-08-2024,73522,73896,74287,73321,219.83K,0.32%
